"player_id","first_name","last_name","sex"
"1","Dan ""Stork""","Roddick","m"
"2","Dave","Marini","m"
"3","Jim","Kenner","m"
"4","Buddy","Adams","M"
"5","Jamey","Adams","m"
"6","Deb","Adamson","F"
"7","Vanessa","Adcock","f"
"8","Gordy","Adell","m"
"9","Dave","Adelson","M"
"10","Gary","Adler","m"
"11","Otoe","Aero","m"
"12","John","Affonso","m"
"13","Steve","Agocs","m"
"14","Richard","Ahigrim","m"
"15","Björn","Ahlström","m"
"16","Jim","Akins","m"
"17","Peter","Albers","m"
"18","Damon","Allen","m"
"19","Dave","Alton","m"
"20","Joan","Amberg","f"
"21","Chris","Anderson","m"
"22","Mark","Anderson","m"
"23","Peter","Anderson","m"
"24","Vance","Anderson","m"
"25","Tito","Andino","m"
"26","John","Andre","m"
"27","Jorge","Araujo","m"
"28","Keith","Armstrong","m"
"29","Kip","Armstrong","m"
"30","Joakim","Arveskär","m"
"31","Dan","Asmus","m"
"32","Larry","Ast","m"
"33","Jim","Atwood","m"
"34","Shawn","Atwood","m"
"35","Norm","Aubin","m"
"36","Gary","Auerbach","m"
"37","Keith","Baber","m"
"38","Dave","Bailey","m"
"39","Randy","Bailey","m"
"40","Van","Bailey","m"
"41","Keith","Baker","m"
"42","Nigel","Barnwell","m"
"43","Roy","Barrett","m"
"44","Enrico","Barsanti","m"
"45","TJ","Barson","m"
"46","Mike","Beckman","m"
"47","Amy","Schiller","F"
"48","Chipper ""Bro""","Bell","M"
"49","Jonas","Bengtsson","m"
"50","Bob","Benner","m"
"51","Eddie","Bennett","m"
"52","Curtis","Benoit","m"
"53","Niclas","Bergehamn","m"
"54","Dan","Berman","m"
"55","Sam","Berry","m"
"56","Tom","Bertrand","m"
"57","Amy","Betty","f"
"58","Dave","Bickerman","m"
"59","Justin","Biehler","m"
"60","John","Bird","m"
"61","Donny","Birdno","m"
"62","Allison","Black","f"
"63","Greg","Black","m"
"64","Kyle","Black","m"
"65","Mark","Blakemore","m"
"66","Nicholas","Blankevoort","m"
"67","Fredrik","Blom","m"
"68","Jeff","Blount","m"
"69","Kyle","Boatwright","m"
"70","Dave","Bogenhagen","m"
"71","Terry","Bogenhagen","f"
"72","Brian","Bohannon","m"
"73","Mike","Boisvert","m"
"74","Scott","Bolsover","m"
"75","Dave","Bolyard","m"
"76","David","Bonnell","m"
"77","Mark","Bonner","m"
"78","Christina","Bordieri","f"
"79","Bob","Boulware","m"
"80","Peter","Bowie","m"
"81","Steve","Bowra","m"
"82","Spencer","Bradley","m"
"83","David","Brady","m"
"84","Duane","Bragg","m"
"85","Harvey","Brandt","m"
"86","Tim","Bratton","m"
"87","Kent","Bray","m"
"88","Bob","Brechler","m"
"89","Brian","Brechler","m"
"90","Michael","Brendel","m"
"91","Roy-Ove","Brenn","m"
"92","Mary","Brenner","f"
"93","Paul","Brenner","m"
"94","Matt","Brock","m"
"95","Karl","Broderson","m"
"96","Tim","Brodeur","m"
"97","Todd","Brodeur","m"
"98","Marc","Broghammer","m"
"99","Crazy John","Brooks","m"
"100","Chris","Brown","-"
"101","Gary","Burdick","m"
"102","Christina","Burnap","f"
"103","Craig","Burris","m"
"104","John","Burt","m"
"105","Tomas","Burvall","m"
"106","Herb","Bush","m"
"107","Dave","Byrd","m"
"108","Theo ""Sunny""","Cade","M"
"109","Dave","Cain","m"
"110","Kim","Caldwell","f"
"111","Abe","Calzadilla","m"
"112","Danny","Cameranesi","m"
"113","Jeannie","Cameranesi","f"
"114","Stevie","Campbell","-"
"115","Roger","Cansler","m"
"116","Todd","Canuel","m"
"117","Brian","Capanna","m"
"118","Alan","Caplin","m"
"119","Phil","Cappa","m"
"120","Rich","Carbongra","m"
"121","Kevin","Cardner","m"
"122","Mike","Carr","m"
"123","Pat","Carrasco","m"
"124","Amanda ""Mandy""","Carriero","F"
"125","Michael","Casey","m"
"126","Rick","Castiglia","m"
"127","Dave","Cecil","m"
"128","Jamie","Chantiles","m"
"129","Carla","Cheshire","f"
"130","Rocco","Chilelli","m"
"131","Bob","Clark","m"
"132","H.B.","Clark","m"
"133","Keith","Clark","m"
"134","Michael","Clarke","m"
"135","Mike","Clay","m"
"136","Greg","Clement","m"
"137","Ken","Climo","m"
"138","Mike","Cloud","m"
"139","Steve","Cobuf","m"
"140","Arthur","Coddington","m"
"141","Eddy","Cohn","m"
"142","Tim","Cohn","m"
"143","Roger","Cole","m"
"144","Bob","Coleman","m"
"145","Claudio ""Clay""","Collerà","M"
"146","Ron","Colwell","m"
"147","Mike","Connaway","m"
"148","Marty","Cook","m"
"149","Bob","Cooksey","m"
"150","Jack","Cooksey","m"
"151","Jeff","Cooper","m"
"152","Doug","Corea","m"
"153","Joe","Costa","m"
"154","Justin","Counsellor","m"
"155","Rusty","Courser","m"
"156","Frank","Coussens III","m"
"157","Dale","Crawford","m"
"158","Moss","Cremer","m"
"159","Tom","Cremer","m"
"160","Mike","Crowther","m"
"161","Pete","Crowther","m"
"162","Conrad","Damon","m"
"163","Lori","Daniels","f"
"164","-","Danzo","-"
"165","Rich","Darter","m"
"166","Darryl","Daugherty","m"
"167","Jerel","Davis","m"
"168","Judy","Deering","f"
"169","Steve","Deering","m"
"170","Christopher","Dehnhardt","m"
"171","James","Demarest","m"
"172","Chris","DePaola","m"
"173","Dorn","Deraad","m"
"174","Dan","Desch","m"
"175","George","Desch","m"
"176","Martin","Desch","m"
"177","Merrill","Detwiler","m"
"178","Jerry","DiChiara","m"
"179","Chad","Dickson","m"
"180","R.","Dillingham","-"
"181","Fernando","Direito","m"
"182","Ed","Dissosway","m"
"183","John","Ditmars","m"
"184","Roy","Doar","m"
"185","Tyler","Doar","m"
"186","Jim","Dodelson","m"
"187","Tim","Dodwell","m"
"188","Chauncey","Donaldson","m"
"189","Isaac","Doris","m"
"190","Bo","Dorn","m"
"191","Rik","Downs","m"
"192","Dan","Doyle","m"
"193","Vit","Drga","-"
"194","John","Drube","m"
"195","Jon","Drummond","m"
"196","Bill","Dubilier","m"
"197","Steve","DuBois","m"
"198","Walter","Dunbar","m"
"199","Daryl","Duncan","m"
"200","Kevin","Dunn","m"
"201","Mike","Duren","m"
